SPECIMEN_SOURCE	LOINC	LOINC_CD_KEY	LOAD_DATE
BLD	1959-6	70654	2020-12-11
BLDA	1960-4	70660	2020-12-11
BLDC	1961-2	70670	2020-12-11
PLAS	1962-0	70680	2020-12-11
SER_PLAS	1963-8	70690	2020-12-11
SER_PLAS	1968-7	70737	2017-09-07
SER_PLAS	1971-1	70763	2017-09-07
SER_PLAS	1975-2	70801	2017-09-07
URINE	1977-8	70822	2017-09-07
URINE	1978-6	70832	2017-09-07
SER_PLAS	1988-5	70942	2017-09-07
SER_PLAS	1992-7	70987	2017-09-07
BLD	1994-3	71007	2017-09-07
SER_PLAS	1995-0	71015	2017-09-07
BLDA	2019-8	71253	2020-12-11
BLD	2026-3	71327	2017-09-07
SER_PLAS	2028-9	71347	2017-09-07
URINE	20409-9	71488	2017-09-07
SER_PLAS	20416-4	71496	2017-09-07
SER_PLAS	20436-2	71517	2018-01-25
SER_PLAS	20447-9	71528	2017-09-07
SER_PLAS	20450-3	71532	2017-09-07
URINE	20454-5	71536	2017-09-07
SER	20464-4	71547	2017-09-07
SER	20507-0	71591	2017-09-07
SER	20508-8	71592	2017-09-07
BLD	20509-6	71593	2017-09-07
BLD	20564-1	71649	2020-12-11
BLD	20565-8	71650	2017-09-07
SER_PLAS	20567-4	71652	2020-12-11
BLD	20570-8	71656	2017-09-07
BLD	20585-6	71667	2017-09-07
